"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 21","0.70537","1.04122","1.09730","0.51017","28.16B","-32.37%"
"May 21","1.04293","1.59851","1.76001","0.65070","60.42B","-34.70%"
"Apr 21","1.59707","0.56957","1.96332","0.55070","78.26B","180.40%"
"Mar 21","0.56957","0.41566","0.59954","0.41226","33.96B","37.15%"
"Feb 21","0.41528","0.49493","0.75358","0.34132","70.40B","-16.09%"
"Jan 21","0.49493","0.21928","0.50882","0.21140","80.29B","125.73%"
"Dec 20","0.21925","0.66388","0.67952","0.17428","81.60B","-66.97%"
"Nov 20","0.66386","0.23971","0.77883","0.22803","53.18B","176.94%"
"Oct 20","0.23972","0.24183","0.26354","0.22849","33.88B","-0.84%"
"Sep 20","0.24174","0.28114","0.30373","0.21955","39.38B","-14.02%"
"Aug 20","0.28117","0.25945","0.32667","0.25489","58.23B","8.36%"
"Jul 20","0.25947","0.24096","0.26039","0.23742","39.33B","48.00%"
"Jun 20","0.17532","0.20254","0.21452","0.16947","30.43B","-13.44%"
"May 20","0.20254","0.21143","0.22647","0.18239","59.95B","-4.21%"
"Apr 20","0.21145","0.17364","0.23550","0.16821","84.17B","21.77%"
"Mar 20","0.17365","0.22901","0.24616","0.10570","130.71B","-24.18%"
"Feb 20","0.22902","0.23939","0.34553","0.22902","85.10B","-4.33%"
"Jan 20","0.23938","0.19293","0.32324","0.18464","60.37B","24.07%"
"Dec 19","0.19294","0.22548","0.23180","0.17553","49.23B","-14.43%"
"Nov 19","0.22548","0.29448","0.31422","0.20268","49.82B","-23.43%"
"Oct 19","0.29448","0.25643","0.31200","0.24225","56.76B","14.84%"
"Sep 19","0.25643","0.25759","0.32571","0.22523","39.25B","-0.45%"
"Aug 19","0.25759","0.31966","0.31966","0.24016","41.61B","-19.42%"
"Jul 19","0.31966","0.39699","0.42120","0.28609","40.08B","-19.47%"
"Jun 19","0.39695","0.43842","0.50552","0.37232","51.20B","-9.46%"
"May 19","0.43841","0.30884","0.47805","0.29304","62.10B","41.94%"
"Apr 19","0.30886","0.30891","0.37939","0.28687","30.99B","-0.01%"
"Mar 19","0.30890","0.31412","0.32520","0.29407","11.18B","-1.66%"
"Feb 19","0.31412","0.30926","0.34774","0.28878","10.02B","1.56%"
"Jan 19","0.30930","0.35100","0.38143","0.28176","6.66B","-11.88%"
"Dec 18","0.35100","0.36450","0.45265","0.28162","9.04B","-3.70%"
"Nov 18","0.36448","0.45361","0.56512","0.32801","11.45B","-19.65%"
"Oct 18","0.45361","0.58272","0.60468","0.37822","10.07B","-22.16%"
"Sep 18","0.58274","0.33507","0.78848","0.25336","14.71B","73.94%"
"Aug 18","0.33503","0.43498","0.46260","0.24706","7.08B","-22.98%"
"Jul 18","0.43498","0.46491","0.52362","0.42522","4.95B","-6.43%"
"Jun 18","0.46486","0.61098","0.70431","0.42570","4.03B","-23.92%"
"May 18","0.61103","0.83143","0.93050","0.54440","4.78B","-10.53%"
"Apr 18","0.68296","0.64049","0.69545","0.64044","178.28M","36.35%"
"Mar 18","0.50089","0.88692","1.08514","0.47369","4.69B","-43.53%"
"Feb 18","0.88692","1.13627","1.22864","0.57460","6.46B","-22.15%"
"Jan 18","1.13931","1.98000","3.29000","0.88529","4.03B","-42.46%"
"Dec 17","1.98000","0.23690","2.44000","0.20050","10.97B","740.41%"
"Nov 17","0.23560","0.19750","0.28090","0.17550","3.34B","19.29%"
"Oct 17","0.19750","0.19990","0.29770","0.18300","2.82B","-1.20%"
"Sep 17","0.19990","0.25930","0.26040","0.14830","1.84B","-22.91%"
"Aug 17","0.25930","0.16480","0.29770","0.14830","2.60B","57.34%"
"Jul 17","0.16480","0.24660","0.25810","0.12750","1.20B","-33.17%"
"Jun 17","0.24660","0.24750","0.34000","0.21400","1.17B","-0.36%"
"May 17","0.24750","0.05218","0.39890","0.04903","2.35B","374.32%"
"Apr 17","0.05218","0.02140","0.06950","0.00750","2.29B","143.83%"
"Mar 17","0.02140","0.00557","0.02254","0.00525","1.33B","284.20%"
"Feb 17","0.00557","0.00641","0.00661","0.00500","175.83M","-13.10%"
"Jan 17","0.00641","0.00651","0.00719","0.00300","86.42M","-1.55%"
"Dec 16","0.00651","0.00679","0.00729","0.00596","11.18M","-4.18%"
"Nov 16","0.00679","0.00798","0.00848","0.00651","10.30M","-14.84%"
"Oct 16","0.00798","0.00860","0.00949","0.00709","20.04M","-7.22%"
"Sep 16","0.00860","0.00600","0.01150","0.00579","28.62M","43.33%"
"Aug 16","0.00600","0.00600","0.00688","0.00480","12.35M","0.00%"
"Jul 16","0.00600","0.00660","0.00720","0.00575","13.96M","-9.09%"
"Jun 16","0.00660","0.00557","0.02000","0.00543","51.82M","18.49%"
"May 16","0.00557","0.00688","0.00688","0.00485","4.50M","-19.05%"
"Apr 16","0.00688","0.00731","0.00776","0.00557","1.35M","-6.95%"
"Mar 16","0.00740","0.00810","0.00969","0.00690","3.10M","-8.70%"
"Feb 16","0.00810","0.00615","0.10000","0.00530","2.32M","31.62%"
"Jan 16","0.00615","0.00520","0.00785","0.00400","336.56K","18.23%"
"Dec 15","0.00520","0.00390","0.01000","0.00380","999.05K","30.12%"
"Nov 15","0.00400","0.00503","0.00553","0.00400","174.54K","-20.52%"
"Oct 15","0.00503","0.00550","0.00825","0.00400","83.58K","-8.92%"
"Sep 15","0.00553","0.00551","0.00954","0.00551","8.63K","-19.92%"
"Aug 15","0.00690","0.00860","0.00954","0.00551","1.63K","-19.76%"
"Jul 15","0.00860","0.01100","0.01497","0.00556","8.19K","-21.82%"
"Jun 15","0.01100","0.00900","0.01497","0.00555","41.16K","22.22%"
"May 15","0.00900","0.00850","0.01498","0.00460","10.03K","5.88%"
"Apr 15","0.00850","0.00774","0.01150","0.00356","3.33K","9.85%"
"Mar 15","0.00774","0.01178","0.01496","0.00661","72.33K","-34.31%"
"Feb 15","0.01178","0.01499","0.01695","0.01100","0.70K","-21.41%"