year;sd_eur;annualized_hv_eur;sd_gbp;annualized_hv_gbp;sd_jpy;annualized_hv_jpy;sd_gold;annualized_hv_gold;sd_silver;annualized_hv_silver;sd_brent_oil;annualized_hv_brent_oil;sd_wti_oil;annualized_hv_wti_oil;sd_bitcoin;annualized_hv_bitcoin;sd_xrp;annualized_hv_xrp;sd_litecoin;annualized_hv_ltc;sd_ethereum;annualized_hv_etc
2011;0,007386024;0,118866813;0,005233942;0,084232325;0,005726892;0,09216561;0,01336558;0,211750607;0,028132133;0,49611557;0,018798015;0,297816559;0,021837937;0,345977987;;;;;;;;
2012;0,005157734;0,083325738;0,003949861;0,063811955;0,004818958;0,07785265;0,010238497;0,162531109;0,017138329;0,302723247;0,014393452;0,231193071;0,016325382;0,259157399;0,037672729;0,687462795;;;;;;
2013;0,004576376;0,073933611;0,004670525;0,075454644;0,007585927;0,122554408;0,014052032;0,224832519;0,01920304;0,338649293;0,010662683;0,17126805;0,011689152;0,185559534;0,069774793;1,33121821;;;;;;
2014;0,003851456;0,062222169;0,003541927;0,05722158;0,004938611;0,079785703;0,022392239;0,362450054;0,015075999;0,265868145;0,01256998;0,202294684;0,014804043;0,235006898;0,039156829;0,747064681;;;;;;
2015;0,00763404;0,123331694;0,005290664;0,08547329;0,005102765;0,082437688;0,020530213;0,333576475;0,032356783;0,571534733;0,027969518;0,449256982;0,027709976;0,439882234;0,040955318;0,781377669;0,171464269;3,175562698;;;;
2016;0,005124042;0,082781438;0,008721483;0,140899875;0,007805577;0,126102958;0,015186589;0,247219757;0,039599977;0,696104075;0,027763924;0,445954646;0,028823238;0,457554724;0,025558486;0,488294191;0,057580334;1,101576647;0,026857198;0,305039134;;
2017;0,004565244;0,07361234;0,005467141;0,088154992;0,005239933;0,084491375;0,017152355;0,278692786;0,048533878;0,854527095;0,015142028;0,243216986;0,014898905;0,243905592;0,050389745;0,962694735;0,115230744;2,201480281;0,084029077;1,605373255;;
2018;0,004465862;0,072148205;0,005141232;0,083059138;0,003993187;0,064511915;0,016580343;0,269398695;0,052668001;0,930302384;0,018952443;0,304421304;0,017664103;0,311008628;0,043905615;0,8388156;0,067200911;1,283871606;0,057867391;1,10555495;0,057089932;1,063467595
2019;0,003105796;0,05017567;0,005113909;0,082617729;0,003453633;0,055795157;0,011865845;0,193161967;0,032748909;0,579387351;0,019515325;0,313462539;0,0176471;0,310709254;0,035812237;0,684191827;0,03793773;0,724799309;0,048359979;0,923916097;0,041935287;0,801172535
2020;0,004671073;0,075607924;0,00685127;0,110897499;0,005709385;0,092414464;0,014049505;0,228709367;0,029316708;0,518665518;0,044272227;0,712494067;0,053740472;0,947723547;0,041402977;0,792085594;0,062960468;1,204504667;0,055253693;1,057065396;0,055322662;1,055489114
2021;0,003665973;0,04504823;0,004119807;0,050625037;0,003259018;0,040047484;0,009831643;0,122007484;0,019011181;0,254352262;0,0194856;0,237852055;0,019648181;0,262139434;0,046762443;0,680871452;0,091679443;1,334872845;0,071178397;1,036373098;0,066488862;0,961218326